976500,Torrington,-73.118706,41.817487,,,,,,,,,,,,8360,15483,20623,33923,34662,87041,98872,119856,144091,156769,174092,182193,189927
980000,Waterbury,-73.038327,41.55604,,3256,2874,2882,3071,3668,5137,10004,10826,17806,28646,45859,85863,106766,114217,114702,125754,139061,160951,178244,195471,182272,,
983570,Westport,-73.352413,41.138663,,,,,,,,3293,3361,3477,3715,4017,,,,,,,,,,,,
985810,Willimantic,-72.21246,41.715415,,,,,,,,,,6608,8648,8937,11230,12330,12102,12101,56223,61759,68572,84515,92312,102525,109091,
987350,Winsted,-73.069664,41.922369,,,,,,,,,,4195,4846,6804,7754,8248,,,,,,,,,,
09RWALI,Wallingford,-72.8231552,41.4570418,,,,,,,,,,,,6737,8690,9648,11170,11425,11425,11994,29920,35714,,,,
1021200,Dover,-75.526755,39.161921,,,,,,,,,,,,,,,,5517,,,,17488,23507,28775,126697,162310
1047420,Milford,-75.429327,38.91284,,,,,,,,,,,,,,,,4214,,,,,,,,
1064320,Seaford,-75.616107,38.644654,,,,,,,,,,,,,,,,,,,,,,,156638,
1077580,Wilmington,-75.551581,39.748563,,,,,,8367,13979,21258,30841,42478,61431,76508,87411,116228,112492,123404,221836,268387,366157,499493,523221,,,
10LGEOR,Georgetown,-77.0624775,38.9048338,,2993,4948,7360,8441,7312,8366,8733,,,,,,,,,,,,,,,,
1150000,Washington,-77.013222,38.913611,,3210,8208,13247,18826,23364,40001,61122,120583,159871,202978,278718,331069,455631,517433,712127,967985,1464089,2001897,2861123,3060922,3923574,4796183,5636232
1201625,Apalachicola,-84.992534,29.725203,,,,,,,,,,,,,,,,3268,,,,,,,,
1201750,Arcadia,-81.859917,27.217585,,,,,,,,,,,,,,,,,,,,,,,32209,34862
