ID,Name,Lat,Long,Alt,1960,1970,1980,1991,2000,2010
3101607,Alfenas,-21.42817812,-45.9489182,877.339702,25852,28331,38270,52700,66957,73722
3145208,Nova Serrana,-19.87586738,-44.98557874,738.494373,5306,6538,9273,17913,37447,73719
2208007,Picos,-7.081373912,-41.46882671,221.103352,50102,52757,71018,78409,68974,73417
3141801,Minas Novas,-17.21545816,-42.59675871,496.344869,63722,54771,75529,84343,73895,73333
2103208,Chapadinha,-3.74002452,-43.36112078,105.704466,39742,44997,52638,56852,61322,73281
2304103,Crateus,-5.176950551,-40.66840013,284.943046,41302,62011,65865,66652,70898,72853
3169307,Tres Cora__es,-21.69596578,-45.25493687,879.172257,29787,35180,44382,57045,65291,72796
2601706,Belo Jardim,-8.335295439,-36.42003508,616.704941,36629,45361,51711,60658,68698,72412
4118501,Pato Branco,-26.22995851,-52.677362,781.552383,51581,33808,45937,55675,62234,72373
3171303,Vi_osa,-9.377054355,-36.2483932,248.606622,26689,22252,38655,51568,64854,72244
2311405,Quixeramobim,-5.198404837,-39.29435423,196.481823,52118,66740,66159,59100,59235,71912
3306107,Valen_a (Marques de Valen_a),-13.37034151,-39.07235025,12.225215,42772,48313,53577,60805,66308,71894
3524303,Jaboticabal,-21.2544715,-48.32034975,594.409941,33362,38779,46985,59133,67408,71667
3527108,Lins,-21.6723465,-49.75142339,433.935647,47219,45555,51027,58606,65952,71493
4311403,Lajeado,-9.744682436,-48.35850395,195.580364,56170,56992,63739,63944,64133,71481
3519709,Ibiuna,-23.6526325,-47.22049119,871.580193,23465,24391,31829,49187,64384,71228
4203006,Ca_ador,-26.77534767,-51.01903476,890.702408,22790,32892,39268,52668,63322,70735
5204508,Caldas Novas,-17.74353887,-48.62119747,689.068647,6233,8630,11279,24159,49660,70463
3146107,Ouro Preto,-20.38677637,-43.50644752,1086.538935,33626,46165,53410,62514,66277,70227
3539301,Pirassununga,-21.99404929,-47.42517288,626.162314,27240,37577,44978,56746,64864,70138
4105508,Cianorte,-23.65381315,-52.60915089,544.613472,53658,52532,48797,49846,57401,69962
1504703,Moju,-1.885889,-48.76719913,14.428254,15881,18035,28628,44424,52941,69921
2311801,Russas,-4.939737815,-37.9754313,25.355482,25863,34239,38517,46566,57320,69892
3115300,Cataguases,-21.38924842,-42.69208461,180.807103,41879,43846,49274,58138,63980,69810
2301109,Aracati,-4.56706647,-37.7727526,10.400832,40908,50120,61142,60687,61187,69167
2601201,Arcoverde,-8.4239405,-37.05650556,671.583329,24087,40162,47208,55776,61600,69157
2313401,Tiangua,-3.722674,-40.99170562,809.379152,21798,26200,34285,44005,58069,68901
4204301,Concordia,-27.23365878,-52.02397107,569.510112,45533,45465,54860,64298,63058,68627
4317202,Santa Rosa,-27.8667498,-54.4782241,310.676553,45871,39550,52231,58287,65016,68595
3522604,Itapira,-22.4360055,-46.82124801,648.925594,35969,39036,47929,56586,63377,68365
2916401,Itapetinga,-15.24616719,-40.24738091,284.45834,38362,46112,47417,53476,57931,68314
2914505,Irara,-12.03370396,-38.77165078,245.991496,45113,53176,57373,61200,62814,67182
4104907,Castro,-24.7954175,-50.00281113,978.941694,32724,37536,49816,64058,63581,67082
3135100,Janauba,-15.79902846,-43.30768294,536.809474,22945,31587,43028,53104,61651,66803
2906006,Campo Formoso,-10.50566155,-40.31882099,600.617183,35614,37263,56700,62104,61942,66638
2914604,Irece,-11.30337962,-41.85886048,725.188403,42799,62313,87942,50908,57436,66404
3530508,Mococa,-21.46899051,-47.00717098,633.521769,31554,34819,47310,58374,65574,66303
4322608,Venancio Aires,-29.61165289,-52.19188024,50.685827,39931,43734,48282,55482,61234,65964
3501905,Amparo,-7.567211522,-37.06477525,622.126041,28412,31908,41598,50797,60404,65836
2516201,Sousa,-6.763378005,-38.22960508,227.047576,62948,62049,72883,79135,62635,65807
3135209,Januaria,-15.48787281,-44.35980533,458.705218,59943,62546,71941,87163,63605,65464
2305407,Ico,-6.403031252,-38.86308518,158,34395,41569,53344,60466,62521,65453
