ID,Name,Lat,Long,1954,1962,1968,1975,1982,1990,1999
80001,Abbeville,50.230556,1.976704,30203,32918,34991,36974,37304,36827,37309
80021,Amiens,49.861468,2.309563,190232,205298,224733,247587,256764,263571,270870
80620,Péronne,49.9340763,2.9295459,11164,11633,12735,14063,14947,14266,14000
81004,Albi,43.928908,2.143385,59878,64589,70301,76108,79885,83918,85960
81065,Castres,43.5549604,2.2905397,44164,47593,51614,58166,60023,61699,61760
81163,Mazamet,43.5549604,2.2905397,24886,27910,29328,29486,28694,27812,26186
82121,Montauban,44.0263525,1.3779745,51702,54791,60563,64135,69290,72848,75158
83023,Brignoles,43.40655,6.061187,8310,9353,11132,12650,13906,16648,18765
83050,Draguignan,43.5383817,6.4621559,16703,18197,22558,27045,34188,39997,44851
83061,Fréjus,43.4192098,6.7281115,27052,33777,44506,53780,60289,73967,83840
83115,Sainte-Maxime,43.3139109,6.6352624,4365,5315,7108,9035,10274,13337,15565
83119,Saint-Tropez,43.2054339,6.4819286,5596,6472,7237,6946,8230,8376,8154
83137,Toulon,43.097222,6.146111,292614,336541,397602,448185,490340,531071,564823
84003,Apt,43.876452,5.395439,8841,9734,12296,14673,16218,17607,17418
84007,Avignon,43.906667,4.901944,150027,174563,206283,231672,252582,270744,290466
84035,Cavaillon,43.837051,5.037909,20676,23460,25453,29372,30543,34686,37721
84054,Isle-sur-la-Sorgue,43.9200406,5.0499215,11603,13001,14344,16913,19805,24014,26419
84087,Orange,44.140278,4.8686109,23006,26011,31206,32772,34348,35910,37279
84089,Pertuis,47.098009,6.9296538,5621,6774,8355,10117,12430,15791,17833
85047,Challans,46.8229281,-1.898653,5828,6962,8558,11794,12845,14203,16132
85092,Fontenay-le-Comte,46.442747,-0.793449,19794,20415,21501,23895,25544,25399,24947
85109,Herbiers,46.869104,-1.013039,7402,8224,9050,10599,12049,13413,13932
85191,Roche-sur-Yon,46.6738114,-1.4329146,53411,58778,65052,76765,86233,90893,98175
85194,Sables-d'Olonne,46.4932486,-1.7688308,26129,28427,30417,33205,35318,38769,42933
85222,Saint-Gilles-Croix-de-Vie,46.6962749,-1.9406148,11925,12819,13675,15259,16935,19323,22201
